"","V1","V2","V3","V4","V5","V6","V7"
"1",1.19,1.02,0.8,1.22,2.12,0.83,1.43
"2",0.93,0.93,0.84,1.02,1.36,0.95,1.09
"3",0.85,1.4,1.68,1.14,1.73,1.57,1.11
"4",0.9,0.89,0.87,0.86,1.28,1.59,1.71
"5",3.01,1.38,1.09,1.05,1.08,3.81,1.16
