"","V1","V2","V3","V4","V5","V6","V7"
"1",1.24,1.06,0.88,1.06,2.46,1.08,2.17
"2",0.95,0.95,0.85,0.99,1.85,1.07,1.77
"3",1.01,1.44,1.56,1.12,2.3,1.95,1.44
"4",1.05,1.03,1.07,0.94,2.13,1.73,2.24
"5",3.07,1.48,1.33,1.19,2.59,3.82,2.01
