"","V1","V2","V3","V4","V5","V6","V7"
"1",1.8,1.47,1.15,1.43,4.02,1.57,3.66
"2",1.35,1.36,1.22,1.46,3.36,1.65,3.29
"3",1.39,2.01,2.18,1.61,4.65,2.9,2.8
"4",1.44,1.43,1.51,1.42,3.98,2.74,4.07
"5",4.77,2.23,1.98,1.83,4.37,6.24,3.78
