Day,Model,A,B,C,D,E,F,G
M,TAR,0.94,0.99,0.89,1.12,1.97,0.86,1.68
M,TARt,0.92,0.95,0.81,1.15,1.58,0.58,1.22
M,SEAS,1.24,1.06,0.88,1.06,2.46,1.08,2.17
M,SEASt,1.19,1.02,0.8,1.22,2.12,0.83,1.43
T,TAR,0.81,1.05,0.95,1,1.47,1.13,1.15
T,TARt,0.8,1.03,0.91,0.99,0.94,0.88,0.74
T,SEAS,0.95,0.95,0.85,0.99,1.85,1.07,1.77
T,SEASt,0.93,0.93,0.84,1.02,1.36,0.95,1.09
W,TAR,1.02,1.12,1.04,0.99,1.67,1.94,1.26
W,TARt,0.9,1.12,0.96,0.98,1.43,1.81,0.86
W,SEAS,1.01,1.44,1.56,1.12,2.3,1.95,1.44
W,SEASt,0.85,1.4,1.68,1.14,1.73,1.57,1.11
Th,TAR,0.84,0.98,0.82,0.87,1.51,1.48,1.22
Th,TARt,0.78,0.91,0.68,0.8,0.69,1.08,0.95
Th,SEAS,1.05,1.03,1.07,0.94,2.13,1.73,2.24
Th,SEASt,0.9,0.89,0.87,0.86,1.28,1.59,1.71
F,TAR,2.85,1.2,0.88,0.7,1.26,2.52,1
F,TARt,1.73,1.07,0.52,0.57,0.59,1.3,0.43
F,SEAS,3.07,1.48,1.33,1.19,2.59,3.82,2.01
F,SEASt,3.01,1.38,1.09,1.05,1.08,3.81,1.16
