"","V1","V2","V3","V4","V5","V6","V7"
"1",1.73,1.41,1.04,1.65,3.47,1.2,2.42
"2",1.33,1.32,1.2,1.5,2.47,1.46,2.03
"3",1.17,1.96,2.35,1.63,3.49,2.34,2.16
"4",1.23,1.23,1.23,1.3,2.4,2.52,3.1
"5",4.68,2.09,1.63,1.62,1.82,6.23,2.17
