"","V1","V2","V3","V4","V5","V6","V7"
"1",1.02,1.1,0.88,1.07,1.87,0.81,1.48
"2",0.9,1.05,1.04,0.98,1.36,1.03,1.95
"3",1.04,1.11,0.91,0.97,2.27,1.86,1.55
"4",0.89,0.93,0.94,1.01,2.19,1.64,2.15
"5",1.8,1.08,1.01,0.85,1.45,2.4,1.16
