"","V1","V2","V3","V4","V5","V6","V7"
"1",1.31,1.12,0.84,1.3,2.51,0.91,1.7
"2",1.02,1.03,0.89,1.13,1.65,1.08,1.32
"3",0.97,1.58,1.82,1.23,2.21,1.8,1.32
"4",0.99,0.94,0.92,0.94,1.62,1.8,2.04
"5",3.47,1.47,1.17,1.18,1.3,4.34,1.39
