Day,Model,A,B,C,D,E,F,G
M,TAR,1.02,1.1,0.88,1.07,1.87,0.81,1.48
M,TARt,0.93,1.09,0.85,1.04,1.49,0.56,1.24
M,SEAS,1.8,1.47,1.15,1.43,4.02,1.57,3.66
M,SEASt,1.73,1.41,1.04,1.65,3.47,1.2,2.42
T,TAR,0.9,1.05,1.04,0.98,1.36,1.03,1.95
T,TARt,0.89,1.05,0.96,0.95,0.98,0.77,1.3
T,SEAS,1.35,1.36,1.22,1.46,3.36,1.65,3.29
T,SEASt,1.33,1.32,1.2,1.5,2.47,1.46,2.03
W,TAR,1.04,1.11,0.91,0.97,2.27,1.86,1.55
W,TARt,0.99,1.14,1.01,0.99,1.3,1.75,1.38
W,SEAS,1.39,2.01,2.18,1.61,4.65,2.9,2.8
W,SEASt,1.17,1.96,2.35,1.63,3.49,2.34,2.16
Th,TAR,0.93,0.89,0.82,0.92,1.48,1.52,1.83
Th,TARt,0.89,0.93,0.94,1.01,2.19,1.64,2.15
Th,SEAS,1.44,1.43,1.51,1.42,3.98,2.74,4.07
Th,SEASt,1.23,1.23,1.23,1.3,2.4,2.52,3.1
F,TAR,1.8,1.08,1.01,0.85,1.45,2.4,1.16
F,TARt,1.13,0.92,0.55,0.78,0.47,2.7,1.07
F,SEAS,4.77,2.23,1.98,1.83,4.37,6.24,3.78
F,SEASt,4.68,2.09,1.63,1.62,1.82,6.23,2.17
